Sl. No._x,State/UT,EV_2W,EV_3W,Total_EV,Sl. No._y,Highway_Charging,RO_Charging,Total_Charging
1,Andaman and Nicobar Islands,17,,17,,,,7.0
2,Andhra Pradesh,39331,2640.0,41971,1,319.0,65.0,1309.0
3,Arunachal Pradesh,18,,18,2,5.0,4.0,53.0
4,Assam,2464,12111.0,14575,3,59.0,19.0,518.0
5,Bihar,13672,10136.0,23808,4,139.0,26.0,818.0
6,Chhattisgarh,24193,2393.0,26586,6,70.0,51.0,571.0
7,Chandigarh,1220,140.0,1360,5,5.0,4.0,22.0
8,Daman and Diu,130,8.0,138,,,,
9,Delhi,19704,3433.0,23137,7,25.0,66.0,358.0
10,Goa,6421,17.0,6438,8,24.0,17.0,85.0
11,Gujarat,49118,1187.0,50305,9,420.0,87.0,1470.0
12,Himachal Pradesh,765,68.0,833,11,53.0,13.0,165.0
13,Haryana,14019,864.0,14883,10,261.0,114.0,1287.0
14,Jharkhand,6015,1872.0,7887,13,105.0,22.0,458.0
15,Jammu and Kashmir,1996,5874.0,7870,12,72.0,3.0,197.0
16,Karnataka,100901,6343.0,107244,14,471.0,100.0,1972.0
17,Kerala,49248,3156.0,52404,15,189.0,39.0,834.0
18,Ladakh,4,,4,,,,15.0
19,Lakshadweep,5,1.0,6,,,,1.0
20,Maharashtra,170413,6842.0,177255,17,659.0,,2010.0
21,Meghalaya,121,163.0,284,19,27.0,3.0,81.0
22,Manipur,7,193.0,200,18,1.0,1.0,69.0
23,Madhya Pradesh,49204,3354.0,52558,16,231.0,167.0,1328.0
24,Mizoram,430,,430,20,7.0,,18.0
25,Nagaland,5,,5,21,6.0,2.0,47.0
26,Odisha,45926,1678.0,47604,22,190.0,26.0,893.0
27,Punjab,16553,737.0,17290,24,272.0,41.0,1064.0
28,Puducherry,3361,187.0,3548,,,,
29,Rajasthan,58638,2450.0,61088,25,439.0,174.0,1901.0
30,Shillong,1,1.0,2,,,,
31,Telangana,45572,2909.0,48481,28,244.0,112.0,1313.0
32,Tamil Nadu,93159,1683.0,94842,27,649.0,76.0,2434.0
33,Tripura,356,6811.0,7167,29,1.0,3.0,58.0
34,Uttarakhand,5881,1765.0,7646,31,27.0,10.0,252.0
35,Uttar Pradesh,67384,39062.0,106446,30,525.0,128.0,2901.0
36,West Bengal,19387,3323.0,22710,32,321.0,71.0,1276.0
Total,Total,905639,121401.0,1027040,,,,25852.0
